Vendor,Rule,Inverted,Comment
google,^(hadassah|hadley|haiden|hailee|hailey|hailie|hallie|hamilton|hampton|hannah|hanson|harden|hardin|harding|harlan|harland|harley|harlon|harlow|harman|harmon|harold|harper|harrell|harriet|harriett|harriette|harris|harrison|hartley|harvey|hassan|hassie|hattie|hayden|hayley|hayward|haywood|heather|hebert|hector|hedwig|helena|helene|hellen|henderson|henretta|henrietta|herbert|heriberto|herlinda|herman|herminia|herschel|hershel|hester|hettie|hezzie|hilario|hilary|hildegard|hillary|hilliard|hilton|hjalmer|hobert|hobson|holden|holland|hollie|holmes|hoover|horace|horacio|hortencia|hortense|hortensia|horton|houston|howard|howell|hubbard|hubert|hudson|hughes|humberto|humphrey|hunter|hurley|huston)$,1,Name is not allowed
google,^(ibrahim|idella|ieshia|ignacio|iliana|imanol|imelda|imogene|ingeborg|ingram|ingrid|ireland|irving|isabel|isabela|isabell|isabella|isabelle|isaiah|isaias|isidro|ismael|israel|isreal|iverson|ivette|ivonne|iyanna)$,1,Name is not allowed
google,^(jacalyn|jackie|jacklyn|jackson|jaclyn|jacque|jacquelin|jacqueline|jacquelyn|jacquelynn|jacques|jacquline|jaheim|jaimie|jamaal|jamila|jamison|jammie|janeen|janell|janelle|janette|janiah|janice|janine|jannette|jannie|jaquan|jaqueline|jarred|jarrell|jarrett|jarrod|jarvis|jasmin|jasmine|jasper|jaunita|javier|javion|jaylan|jaylin|jayson|jazmin|jeanetta|jeanette|jeanie|jeanine|jeanmarie|jeanne|jeannette|jeannie|jeannine|jefferey|jefferson|jeffery|jeffrey|jeffry|jenelle|jenifer|jennette|jennie|jennifer|jenniffer|jennings|jensen|jerald|jeraldine|jeramy|jeremiah|jeremy|jerilyn|jermaine|jerold|jerome|jerrell|jerrie|jerrod|jerrold|jesica|jessee|jessica|jessie|jettie|jewell|jillian|jimmie|joanie|joanna|joanne|joaquin|jocelyn|joelle|joellen|joesph|joetta|johanna|johnathan|johnathon|johnie|johnna|johnnie|johnny|johnson|joleen|jolene|jonatan|jonathan|jonathon|jonell|jonnie|jordan|jordon|josefa|josefina|joseph|josephine|josette|joshua|joshuah|josiah|journey|jovanni|jovita|joycelyn|juanita|judith|judson|julian|juliana|juliann|julianna|julianne|juliet|juliette|julissa|julius|junior|justice|justin|justina|justine)$,1,Name is not allowed
google,^(kadijah|kaelyn|kailey|kaitlin|kaitlyn|kamila|kandice|kareem|karina|karissa|karlene|karolyn|karren|karrie|kassandra|katelyn|katharine|katherine|katheryn|kathie|kathleen|kathlene|kathlyn|kathrine|kathryn|kathryne|katina|katrina|kaylee|kaylene|kaylie|keaton|keegan|keenan|keisha|kelley|kellie|kelsey|kelvin|kendra|kendrick|kennedy|kenneth|kenney|kennith|kennth|kenton|kenyatta|kenyon|kermit|kerrie|keshia|khalid|khalil|killian|kimball|kimberely|kimberlee|kimberley|kimberly|kinsey|kirsten|kirstin|kizzie|kordell|kourtney|krista|kristal|kristan|kristen|kristi|kristie|kristin|kristina|kristine|kristofer|kristoffer|kristopher|kristy|kristyn|krystal|krystle|kurtis)$,1,Name is not allowed
google,^(ladonna|lailah|laisha|lakeisha|lakesha|lakeshia|lakisha|lambert|lamont|landon|lanette|laquita|larissa|larkin|lashanda|lashawn|lashonda|latanya|latasha|latisha|latonia|latonya|latosha|latoya|latrice|latricia|laureen|laurel|lauren|laurence|lauretta|laurette|laurie|lavada|lavern|laverne|lavina|lavonda|lavonne|lawanda|lawerence|lawrence|lawson|lawton|layton|lazaro|leandra|leandro|leanna|leanne|leatha|leatrice|leeann|leighton|leilani|leland|lemuel|lenard|lennie|lenora|lenore|leonard|leonardo|leonel|leonor|leonora|leopoldo|leslee|lesley|leslie|lessie|lester|leticia|letitia|lettie|liddie|lilburn|lilian|liliana|lillia|lillian|lillie|lilyana|lincoln|lindsay|lindsey|linette|linnea|linnie|linton|linwood|lionel|lisette|lissette|littie|little|lizabeth|lizbeth|lizette|lizzie|lolita|london|lonnie|loraine|lorelei|lorena|lorene|lorenz|lorenza|lorenzo|loretta|lorinda|lorine|lorraine|lorrie|lossie|lottie|louann|louella|louisa|louise|lourdes|lovell|lovett|lovisa|lowell|luanne|lucero|luciana|luciano|lucien|lucile|lucille|lucinda|lucius|lucretia|ludwig|luella|luther|lyndon|lyndsey|lynette|lynnette|lynsey|lynwood)$,1,Name is not allowed
google,^(machelle|mackenzie|madden|maddox|madeleine|madeline|madelyn|madison|madisyn|madonna|magdalena|magdalene|maggie|magnolia|mahalia|makaila|malakai|malcolm|malcom|malinda|malissa|mallory|manley|mannie|manning|mansfield|manuel|manuela|maranda|marcel|marcela|marcelina|marcelino|marcella|marcelle|marcellus|marcelo|marchello|marcia|marcie|marcos|marcus|margaret|margarete|margarette|margarita|margarito|margery|margie|margot|margret|marguerite|mariah|mariam|marian|mariana|mariann|marianna|marianne|mariano|maribel|maribeth|maricela|mariela|marietta|marilee|marilla|marilyn|marilynn|marina|marion|marisa|marisela|marisol|marissa|marita|maritza|marjorie|marjory|markell|markus|marlana|marlen|marlena|marlene|marlie|marlin|marlon|marlyn|marlys|marnie|marquez|marquis|marquita|marrion|marsha|marshall|martha|martin|martina|martine|marvel|marvin|maryam|maryanne|marybeth|maryellen|maryjane|maryjo|marylee|marylin|marylou|masako|mathew|mathews|matilda|matilde|matthew|matthias|mattie|maudie|maureen|maurice|mauricio|maurine|maximilian|maximo|maximus|maxine|maxwell|maybelle|maymie|maynard|mcarthur|mckenna|mckenzie|mckinley|meagan|meaghan|mechelle|meghan|melanie|melina|melinda|melisa|melissa|mellisa|mellissa|melodie|melody|melonie|melony|melton|melvin|melvina|mercedes|mercer|merilyn|merrill|merritt|mertie|mervin|mettie|micaela|michael|michaela|michal|michale|micheal|michel|michele|michell|michial|mickey|migdalia|miguel|milagros|mildred|milford|milissa|millard|miller|millicent|millie|milton|minerva|minnie|minoru|miracle|miranda|mireya|miriam|mirtie|missouri|mistie|mitchel|mitchell|mittie|mohamed|mohammad|mohammed|moises|mollie|monika|monique|monroe|montel|montgomery|morgan|morris|morton|mozell|mozelle|muhammad|murdock|muriel|murphy|murray|myrtice|myrtie|myrtis|myrtle)$,1,Name is not allowed
google,^(nadine|nanette|nannette|nannie|napoleon|natalia|natalie|natasha|nathalie|nathan|nathanael|nathanial|nathaniel|nayely|needham|nellie|nereida|nestor|nettie|newell|newman|newton|nicholas|nichole|nickolas|nicola|nicolas|nicole|nicolette|nikhil|nikita|ninnie|noelia|noelle|norbert|norberto|noreen|norene|norine|norman|normand|norris|norton|norwood|novella)$,1,Name is not allowed
google,^(oakley|octavia|octavio|odessa|odette|ofelia|oliver|oneida|ophelia|oralia|orlando|orlena|orville|osborn|osborne|osvaldo|oswald|oswaldo|ozella)$,1,Name is not allowed
google,^(paisley|pallie|palmer|paloma|pamala|pamela|pamelia|parker|parrish|pasquale|patrica|patrice|patricia|patrick|pattie|pauletta|paulette|paulina|pauline|paxton|payton|pearlie|pearline|peggie|penelope|pennie|pepper|philip|phillip|phillis|philomena|phoebe|phylis|phyliss|phyllis|pierce|pierre|plummer|porfirio|porter|portia|powell|prentice|presley|preston|pricilla|prince|princess|priscilla|prosper|prudence)$,1,Name is not allowed
google,^(quentin|quincy|quintin|quinton)$,1,Name is not allowed
